Scenario,Pattern,Strength_pct,Algorithm,TrialIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,random,20,RRAM,1,0.495356037151703,1,0.747678018575851,1,0.5,0.5,0.5,196.85
small,random,20,RRAM,2,0.438438438438438,0,0.219219219219219,0,0.4625,0.4625,0.5375,186.324324324324
small,random,20,RRAM,3,0.495356037151703,1,0.747678018575851,1,0.5,0.5,0.5,196.85
small,random,20,RRAM,4,0.35632183908046,0,0.17816091954023,0,0.4,0.4,0.6,179.75
small,random,20,RRAM,5,0.477477477477477,0.322085889570552,0.399781683524015,0.272727272727273,0.475,0.475,0.525,181.763157894737
small,random,20,RRAM,6,0.435820895522388,0,0.217910447761194,0,0.4625,0.4625,0.5375,186.324324324324
small,random,20,RRAM,7,0.414201183431953,0,0.207100591715976,0,0.45,0.45,0.55,190.361111111111
small,random,20,RRAM,8,0.388235294117647,0,0.194117647058824,0,0.425,0.425,0.575,195.294117647059
small,random,20,RRAM,9,0.43452380952381,0,0.217261904761905,0,0.4625,0.4625,0.5375,186.324324324324
small,random,20,RRAM,10,0.427299703264095,0,0.213649851632047,0,0.4625,0.4625,0.5375,189.459459459459
small,random,20,BDTR,1,0.743975903614458,0,0.371987951807229,0.3,0.65,0.65,0.35,179.173076923077
small,random,20,BDTR,2,0.735735735735736,0,0.367867867867868,0.272727272727273,0.65,0.65,0.35,182.980769230769
small,random,20,BDTR,3,0.751497005988024,0,0.375748502994012,0.416666666666667,0.6625,0.6625,0.3375,185.849056603774
small,random,20,BDTR,4,0.746223564954683,0,0.373111782477341,0.333333333333333,0.6625,0.6625,0.3375,181.679245283019
small,random,20,BDTR,5,0.741641337386018,0.121457489878543,0.43154941363228,0.285714285714286,0.6625,0.6625,0.3375,184.830188679245
small,random,20,BDTR,6,0.747747747747748,0,0.373873873873874,0.272727272727273,0.65,0.65,0.35,180.942307692308
small,random,20,BDTR,7,0.740963855421687,0,0.370481927710843,0.4,0.65,0.65,0.35,184.173076923077
small,random,20,BDTR,8,0.756756756756757,0,0.378378378378378,0.363636363636364,0.6875,0.6875,0.3125,183.763636363636
small,random,20,BDTR,9,0.6875,0,0.34375,0.214285714285714,0.625,0.625,0.375,181.02
small,random,20,BDTR,10,0.778787878787879,0,0.389393939393939,0.625,0.6875,0.6875,0.3125,185.072727272727
