Scenario,Pattern,Strength_pct,Algorithm,R_task_Mean,R_task_Std,R_time_Mean,R_time_Std,CRI_Mean,CRI_Std,throughputRecovery_Mean,throughputRecovery_Std,feasibilityRate_Mean,feasibilityRate_Std,completionRate_Mean,completionRate_Std,failedRate_Mean,failedRate_Std,meanCompletionTime_Mean,meanCompletionTime_Std
small,random,20,RRAM,0.4363,0.0447,0.2322,0.4169,0.3343,0.2264,0.2273,0.416,0.46,0.0305,0.46,0.0305,0.54,0.0305,188.9301,6.0027
small,random,20,BDTR,0.7431,0.0229,0.0121,0.0384,0.3776,0.0221,0.3484,0.1155,0.6588,0.0187,0.6588,0.0187,0.3413,0.0187,182.9484,2.1664
small,random,20,SROM,0.7492,0.0211,0,0,0.3746,0.0105,0.2864,0.1301,0.66,0.0175,0.66,0.0175,0.34,0.0175,184.7137,2.8186
small,random,20,Hungarian (Ours),0.6969,0.035,0.9514,0.1538,0.8241,0.0734,1,0,0.625,0.0312,0.625,0.0312,0.375,0.0312,166.8606,11.2517
small,random,30,RRAM,0.4533,0.0393,0.4116,0.4379,0.4325,0.2325,0.4222,0.4206,0.4763,0.0232,0.4763,0.0232,0.5238,0.0232,191.2052,6.0057
small,random,30,BDTR,0.7368,0.0401,0,0,0.3684,0.0201,0.3976,0.1616,0.6563,0.0329,0.6563,0.0329,0.3438,0.0329,185.4266,6.0243
small,random,30,SROM,0.7466,0.0407,0,0,0.3733,0.0203,0.3478,0.1782,0.6625,0.0339,0.6625,0.0339,0.3375,0.0339,185.6442,3.3563
small,random,30,Hungarian (Ours),0.6814,0.043,0.8453,0.2492,0.7633,0.1152,1,0,0.6113,0.0351,0.6113,0.0351,0.3888,0.0351,168.7239,11.1445
small,random,40,RRAM,0.4196,0.0478,0.2306,0.3043,0.3251,0.1484,0.1355,0.1465,0.4463,0.0408,0.4463,0.0408,0.5538,0.0408,180.0394,13.8319
small,random,40,BDTR,0.7302,0.0269,0.0037,0.0117,0.3669,0.0169,0.3643,0.0874,0.6463,0.0177,0.6463,0.0177,0.3537,0.0177,183.4265,5.3669
small,random,40,SROM,0.7178,0.029,0,0,0.3589,0.0145,0.2538,0.1147,0.6325,0.0244,0.6325,0.0244,0.3675,0.0244,180.602,6.3937
small,random,40,Hungarian (Ours),0.6678,0.0431,0.8794,0.1921,0.7736,0.0896,1,0,0.6063,0.0308,0.6063,0.0308,0.3938,0.0308,164.986,9.567
small,balanced,20,RRAM,0.4511,0.0377,0.3976,0.4589,0.4243,0.2469,0.3932,0.4403,0.47,0.0244,0.47,0.0244,0.53,0.0244,188.8117,6.0636
small,balanced,20,BDTR,0.7423,0.0324,0.0068,0.0216,0.3746,0.0203,0.3773,0.1088,0.6613,0.0314,0.6613,0.0314,0.3388,0.0314,185.5664,3.2833
small,balanced,20,SROM,0.7377,0.025,0.0178,0.0563,0.3778,0.0312,0.2724,0.1631,0.6538,0.0236,0.6538,0.0236,0.3463,0.0236,184.0484,6.139
small,balanced,20,Hungarian (Ours),0.6724,0.0355,1,0,0.8362,0.0178,1,0,0.6125,0.0391,0.6125,0.0391,0.3875,0.0391,164.3859,8.6079
small,balanced,30,RRAM,0.4427,0.0386,0.3533,0.3343,0.398,0.1813,0.2663,0.2923,0.4625,0.027,0.4625,0.027,0.5375,0.027,184.7884,7.7915
small,balanced,30,BDTR,0.744,0.0556,0,0,0.372,0.0278,0.3727,0.1153,0.655,0.0413,0.655,0.0413,0.345,0.0413,184.3928,5.4097
small,balanced,30,SROM,0.7419,0.0524,0,0,0.371,0.0262,0.3189,0.1533,0.6538,0.0373,0.6538,0.0373,0.3463,0.0373,184.0351,4.3728
small,balanced,30,Hungarian (Ours),0.6774,0.0579,0.9407,0.126,0.8091,0.0603,1,0,0.6125,0.0517,0.6125,0.0517,0.3875,0.0517,166.4275,8.3505
small,balanced,40,RRAM,0.4178,0.0553,0.3054,0.3459,0.3616,0.1842,0.2173,0.3036,0.445,0.0364,0.445,0.0364,0.555,0.0364,181.7591,7.2537
small,balanced,40,BDTR,0.7001,0.0325,0,0,0.35,0.0162,0.3247,0.0861,0.62,0.0237,0.62,0.0237,0.38,0.0237,182.321,3.0397
small,balanced,40,SROM,0.6907,0.046,0,0,0.3453,0.023,0.2641,0.1334,0.61,0.0327,0.61,0.0327,0.39,0.0327,180.5904,5.1531
small,balanced,40,Hungarian (Ours),0.6328,0.0445,0.9548,0.0978,0.7938,0.0594,1,0,0.575,0.0358,0.575,0.0358,0.425,0.0358,158.3188,9.2475
small,directed,20,RRAM,0.4435,0.0293,0.2,0.4216,0.3218,0.2245,0.2,0.4216,0.4675,0.0188,0.4675,0.0188,0.5325,0.0188,189.8887,4.0363
small,directed,20,BDTR,0.7513,0.0202,0.0131,0.0413,0.3822,0.0213,0.3825,0.0864,0.665,0.0154,0.665,0.0154,0.335,0.0154,182.6154,2.5703
small,directed,20,SROM,0.7502,0.0231,0,0,0.3751,0.0115,0.2576,0.1081,0.6613,0.0171,0.6613,0.0171,0.3388,0.0171,183.4736,2.3995
small,directed,20,Hungarian (Ours),0.6848,0.0354,1,0,0.8424,0.0177,1,0,0.615,0.0311,0.615,0.0311,0.385,0.0311,164.7653,10.3351
small,directed,30,RRAM,0.4368,0.0539,0.4,0.5164,0.4184,0.2836,0.4,0.5164,0.46,0.0381,0.46,0.0381,0.54,0.0381,191.0126,7.6542
small,directed,30,BDTR,0.7362,0.0518,0.0145,0.046,0.3754,0.0393,0.3528,0.074,0.6575,0.043,0.6575,0.043,0.3425,0.043,183.4808,2.2332
small,directed,30,SROM,0.7299,0.046,0,0,0.3649,0.023,0.2208,0.0965,0.6488,0.0346,0.6488,0.0346,0.3513,0.0346,183.6352,2.7568
small,directed,30,Hungarian (Ours),0.67,0.0403,1,0,0.835,0.0202,1,0,0.6038,0.0378,0.6038,0.0378,0.3963,0.0378,163.825,8.1824
small,directed,40,RRAM,0.3771,0.0426,0,0,0.1885,0.0213,0,0,0.42,0.034,0.42,0.034,0.58,0.034,182.522,5.9898
small,directed,40,BDTR,0.6927,0.0556,0,0,0.3464,0.0278,0.2535,0.1246,0.6113,0.037,0.6113,0.037,0.3888,0.037,178.6283,3.9749
small,directed,40,SROM,0.6693,0.0682,0,0,0.3346,0.0341,0.1267,0.0735,0.5925,0.0453,0.5925,0.0453,0.4075,0.0453,174.8844,3.8137
small,directed,40,Hungarian (Ours),0.6257,0.0495,0.991,0.0284,0.8084,0.0294,1,0,0.5638,0.0427,0.5638,0.0427,0.4363,0.0427,154.7512,7.9584
