Scenario,Pattern,Strength_pct,Algorithm,R_task_Mean,R_task_Std,R_time_Mean,R_time_Std,CRI_Mean,CRI_Std,throughputRecovery_Mean,throughputRecovery_Std,feasibilityRate_Mean,feasibilityRate_Std,completionRate_Mean,completionRate_Std,failedRate_Mean,failedRate_Std,meanCompletionTime_Mean,meanCompletionTime_Std
small,random,20,RRAM,0.4349,0.0453,0.5831,0.1574,0.509,0.0959,0.2214,0.4157,0.46,0.0305,0.46,0.0305,0.54,0.0305,188.9301,6.0027
small,random,20,BDTR,0.7353,0.0228,0.707,0.1272,0.7212,0.0665,0.2589,0.0838,0.6588,0.0187,0.6588,0.0187,0.3413,0.0187,182.9484,2.1664
small,random,20,SROM,0.6963,0.0258,0.754,0.1406,0.7252,0.0739,0.1701,0.1083,0.61,0.0227,0.61,0.0227,0.39,0.0227,184.7657,3.5701
small,random,20,Hungarian (Ours),0.6807,0.0405,0.707,0.1272,0.6938,0.0614,0.2754,0.2617,0.625,0.0312,0.625,0.0312,0.375,0.0312,166.8606,11.2517
small,random,20,SABR,0.7797,0.0234,0.707,0.1272,0.7433,0.0601,0.4249,0.1533,0.7338,0.0221,0.7338,0.0221,0.2663,0.0221,184.5028,6.7579
small,random,30,RRAM,0.4529,0.0393,0.7019,0.151,0.5774,0.091,0.4195,0.4215,0.4763,0.0232,0.4763,0.0232,0.5238,0.0232,191.2052,6.0057
small,random,30,BDTR,0.7294,0.038,0.747,0.1336,0.7382,0.0639,0.2889,0.083,0.6563,0.0329,0.6563,0.0329,0.3438,0.0329,185.4266,6.0243
small,random,30,SROM,0.6796,0.0616,0.8117,0.1616,0.7457,0.0896,0.1483,0.0607,0.5938,0.0511,0.5938,0.0511,0.4063,0.0511,181.8201,4.553
small,random,30,Hungarian (Ours),0.6641,0.0469,0.733,0.1258,0.6986,0.0579,0.2954,0.2661,0.6113,0.0351,0.6113,0.0351,0.3888,0.0351,168.7239,11.1445
small,random,30,SABR,0.7765,0.0379,0.741,0.1284,0.7587,0.0599,0.3885,0.1818,0.7225,0.0327,0.7225,0.0327,0.2775,0.0327,187.0479,8.4615
small,random,40,RRAM,0.4176,0.0479,0.4825,0.1053,0.4501,0.0727,0.1333,0.1462,0.4463,0.0408,0.4463,0.0408,0.5538,0.0408,180.0394,13.8319
small,random,40,BDTR,0.7193,0.0258,0.6756,0.1014,0.6974,0.0501,0.2705,0.08,0.6463,0.0177,0.6463,0.0177,0.3537,0.0177,183.4265,5.3669
small,random,40,SROM,0.6371,0.0685,0.6937,0.1039,0.6654,0.0457,0.0946,0.0631,0.5488,0.0602,0.5488,0.0602,0.4513,0.0602,176.4962,5.3702
small,random,40,Hungarian (Ours),0.6419,0.047,0.6756,0.1014,0.6587,0.05,0.1962,0.061,0.6063,0.0308,0.6063,0.0308,0.3938,0.0308,164.986,9.567
small,random,40,SABR,0.7346,0.0483,0.6756,0.1014,0.7051,0.0514,0.3492,0.1339,0.705,0.0413,0.705,0.0413,0.295,0.0413,182.1669,7.9463
small,balanced,20,RRAM,0.4511,0.0377,0.68,0.1408,0.5655,0.0851,0.3932,0.4403,0.47,0.0244,0.47,0.0244,0.53,0.0244,188.8117,6.0636
small,balanced,20,BDTR,0.7384,0.0333,0.8592,0.0923,0.7988,0.0451,0.3244,0.0972,0.6613,0.0314,0.6613,0.0314,0.3388,0.0314,185.5664,3.2833
small,balanced,20,SROM,0.6579,0.0406,0.8612,0.0943,0.7595,0.0419,0.1708,0.0921,0.5725,0.0348,0.5725,0.0348,0.4275,0.0348,181.5204,2.7676
small,balanced,20,Hungarian (Ours),0.652,0.0398,0.8499,0.0906,0.751,0.044,0.2073,0.1094,0.6125,0.0391,0.6125,0.0391,0.3875,0.0391,164.3859,8.6079
small,balanced,20,SABR,0.7556,0.0396,0.8522,0.0882,0.8039,0.0447,0.4642,0.1268,0.7113,0.0356,0.7113,0.0356,0.2888,0.0356,182.4847,6.3298
small,balanced,30,RRAM,0.4405,0.0391,0.6791,0.1708,0.5598,0.1003,0.2527,0.2928,0.4625,0.027,0.4625,0.027,0.5375,0.027,184.7884,7.7915
small,balanced,30,BDTR,0.7345,0.0523,0.7738,0.1268,0.7541,0.073,0.2384,0.0408,0.655,0.0413,0.655,0.0413,0.345,0.0413,184.3928,5.4097
small,balanced,30,SROM,0.6979,0.0467,0.7885,0.1271,0.7432,0.0652,0.1403,0.0926,0.6138,0.0346,0.6138,0.0346,0.3863,0.0346,182.1017,3.4936
small,balanced,30,Hungarian (Ours),0.6597,0.0621,0.7751,0.1261,0.7174,0.0785,0.1976,0.0661,0.6125,0.0517,0.6125,0.0517,0.3875,0.0517,166.4275,8.3505
small,balanced,30,SABR,0.7468,0.0347,0.7751,0.1261,0.761,0.0624,0.3412,0.146,0.7,0.0354,0.7,0.0354,0.3,0.0354,184.0489,3.9378
small,balanced,40,RRAM,0.4166,0.0551,0.4902,0.1418,0.4534,0.0861,0.2145,0.3025,0.445,0.0364,0.445,0.0364,0.555,0.0364,181.7591,7.2537
small,balanced,40,BDTR,0.6898,0.03,0.7244,0.162,0.7071,0.0859,0.2465,0.0562,0.62,0.0237,0.62,0.0237,0.38,0.0237,182.321,3.0397
small,balanced,40,SROM,0.5859,0.0519,0.7244,0.162,0.6551,0.0933,0.0726,0.0565,0.5075,0.0453,0.5075,0.0453,0.4925,0.0453,169.1038,7.0005
small,balanced,40,Hungarian (Ours),0.6052,0.0474,0.7244,0.162,0.6648,0.0824,0.1822,0.0681,0.575,0.0358,0.575,0.0358,0.425,0.0358,158.3188,9.2475
small,balanced,40,SABR,0.7098,0.0546,0.7244,0.162,0.7171,0.0787,0.3472,0.1143,0.6763,0.0484,0.6763,0.0484,0.3238,0.0484,179.4476,5.6393
small,directed,20,RRAM,0.4424,0.0295,0.6207,0.1765,0.5315,0.1001,0.2,0.4216,0.4675,0.0188,0.4675,0.0188,0.5325,0.0188,189.8887,4.0363
small,directed,20,BDTR,0.7439,0.0204,0.8167,0.145,0.7803,0.0796,0.2754,0.058,0.665,0.0154,0.665,0.0154,0.335,0.0154,182.6154,2.5703
