Scenario,Algorithm,RunIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,RRAM,1,0.415929203539823,0.601769911504425,0.508849557522124,0.294117647058824,0.475,0.475,0.525,189.684210526316
small,RRAM,2,0.440828402366864,0.54320987654321,0.492019139455037,0.3125,0.45,0.45,0.55,162.194444444444
small,RRAM,3,0.425149700598802,0.958333333333333,0.691741516966068,0,0.45,0.45,0.55,160.388888888889
small,RRAM,4,0.464285714285714,0.573076923076923,0.518681318681319,0,0.475,0.475,0.525,181.368421052632
small,RRAM,5,0.48297213622291,0.663082437275986,0.573027286749448,1,0.4875,0.4875,0.5125,185.641025641026
small,RRAM,6,0.43452380952381,0.735099337748344,0.584811573636077,0.285714285714286,0.4625,0.4625,0.5375,192.459459459459
small,RRAM,7,0.305084745762712,0.389570552147239,0.347327648954976,0,0.325,0.325,0.675,129.384615384615
small,RRAM,8,0.526627218934911,0.609120521172638,0.567873870053775,0.25,0.525,0.525,0.475,185.380952380952
small,RRAM,9,0.443452380952381,0.81203007518797,0.627741228070175,0.214285714285714,0.4375,0.4375,0.5625,176.571428571429
small,RRAM,10,0.368731563421829,0.642651296829971,0.5056914301259,0.294117647058824,0.4,0.4,0.6,174.375
small,RRAM,11,0.439628482972136,0.753315649867374,0.596472066419755,1,0.4625,0.4625,0.5375,195.864864864865
small,RRAM,12,0.515759312320917,0.743295019157088,0.629527165739002,0.444444444444444,0.5375,0.5375,0.4625,189.813953488372
small,RRAM,13,0.424778761061947,0.880222841225627,0.652500801143787,0.235294117647059,0.425,0.425,0.575,167.852941176471
small,RRAM,14,0.371681415929204,0.589171974522293,0.480426695225748,0.235294117647059,0.4,0.4,0.6,180.1875
small,RRAM,15,0.476190476190476,0.525606469002695,0.500898472596586,0,0.5,0.5,0.5,188.65
small,RRAM,16,0.464396284829721,0.824701195219123,0.644548740024422,1,0.475,0.475,0.525,180.789473684211
small,RRAM,17,0.492537313432836,0.934272300469484,0.71340480695116,0.230769230769231,0.5125,0.5125,0.4875,181.292682926829
small,RRAM,18,0.422619047619048,0.94273127753304,0.682675162576044,0,0.475,0.475,0.525,180.184210526316
