Scenario,Algorithm,RunIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,RRAM,1,0.415929203539823,0.581039755351682,0.498484479445752,0.294117647058824,0.475,0.475,0.525,189.684210526316
small,RRAM,2,0.440828402366864,0.552631578947368,0.496729990657116,0.3125,0.45,0.45,0.55,162.194444444444
small,RRAM,3,0.425149700598802,0,0.212574850299401,0,0.45,0.45,0.55,160.388888888889
small,BDTR,1,0.761329305135952,0,0.380664652567976,0.444444444444444,0.675,0.675,0.325,182.259259259259
small,BDTR,2,0.75,0,0.375,0.3,0.675,0.675,0.325,174.462962962963
small,BDTR,3,0.748484848484849,0,0.374242424242424,0.375,0.6375,0.6375,0.3625,176.705882352941
small,Hungarian,1,0.643962848297214,1,0.821981424148607,1,0.55,0.55,0.45,156.022727272727
small,Hungarian,2,0.693498452012384,1,0.846749226006192,1,0.6125,0.6125,0.3875,171.938775510204
small,Hungarian,3,0.625386996904025,1,0.812693498452012,1,0.575,0.575,0.425,167.478260869565
small,SROM,1,0.792168674698795,0,0.396084337349398,0.5,0.7,0.7,0.3,188.035714285714
small,SROM,2,0.753012048192771,0,0.376506024096386,0.2,0.675,0.675,0.325,177.759259259259
small,SROM,3,0.764525993883792,0,0.382262996941896,0.4,0.65,0.65,0.35,178.942307692308
large,RRAM,1,0.395112016293279,0.246153846153846,0.320632931223563,0.545454545454545,0.383333333333333,0.383333333333333,0.616666666666667,140.086956521739
large,RRAM,2,0.373046875,0.129310344827586,0.251178609913793,0.28125,0.358333333333333,0.358333333333333,0.641666666666667,144.558139534884
large,RRAM,3,0.482889733840304,0.0203389830508475,0.251614358445576,0.391304347826087,0.491666666666667,0.491666666666667,0.508333333333333,163.898305084746
large,BDTR,1,0.758483033932136,0.0115830115830116,0.385033022757574,0.285714285714286,0.683333333333333,0.683333333333333,0.316666666666667,171.634146341463
large,BDTR,2,0.686507936507937,0,0.343253968253968,0.166666666666667,0.633333333333333,0.633333333333333,0.366666666666667,171.026315789474
large,BDTR,3,0.654901960784314,0.0992647058823529,0.377083333333333,0.133333333333333,0.608333333333333,0.608333333333333,0.391666666666667,167.698630136986
large,Hungarian,1,0.632016632016632,1,0.816008316008316,1,0.591666666666667,0.591666666666667,0.408333333333333,140.746478873239
large,Hungarian,2,0.623700623700624,1,0.811850311850312,1,0.633333333333333,0.633333333333333,0.366666666666667,133.605263157895
large,Hungarian,3,0.61954261954262,1,0.80977130977131,1,0.608333333333333,0.608333333333333,0.391666666666667,132.520547945205
large,SROM,1,0.740079365079365,0.0115830115830116,0.375831188331188,0.208333333333333,0.658333333333333,0.658333333333333,0.341666666666667,165.278481012658
large,SROM,2,0.736526946107784,0.0413533834586466,0.388940164783216,0.142857142857143,0.658333333333333,0.658333333333333,0.341666666666667,167.658227848101
large,SROM,3,0.69488188976378,0.04,0.36744094488189,0.178571428571429,0.65,0.65,0.35,170.525641025641
